iso_2_pair,geo_iso_2,partner_iso_2,year,ip_export,is_cfc,cfc_tax,all_tax,geo_gdp,partner_gdp,patent_collab_count,geo_innovation_input,partner_innovation_input,geo_innovation_output,partner_innovation_output
AT-AR,AT,AR,2010,,0,35.0,35.0,391892746544.69,423627422092.49,1.7999999999999998,71.42857142857143,49.142857142857146,48.857142857142854,34.142857142857146
AT-AR,AT,AR,2010,,0,35.0,35.0,391892746544.69,423627422092.49,1.7999999999999998,71.42857142857143,49.142857142857146,48.857142857142854,34.142857142857146
BE-AR,BE,AR,2010,0.8,0,35.0,35.0,480951629493.033,423627422092.49,0.8,70.71428571428571,49.142857142857146,52.57142857142857,34.142857142857146
BG-AR,BG,AR,2010,0.8,0,35.0,35.0,50381825504.2642,423627422092.49,0.8,54.142857142857146,49.142857142857146,39.142857142857146,34.142857142857146
CY-AR,CY,AR,2010,0.8,0,35.0,35.0,25732432719.0773,423627422092.49,0.8,62.42857142857143,49.142857142857146,40.57142857142857,34.142857142857146
CZ-AR,CZ,AR,2010,0.8,0,35.0,35.0,209069940963.177,423627422092.49,0.8,63.57142857142857,49.142857142857146,44.285714285714285,34.142857142857146
DE-AR,DE,AR,2010,,1,35.0,35.0,3396354075663.73,423627422092.49,18.799999999999997,72.71428571428571,49.142857142857146,50.857142857142854,34.142857142857146
DE-AR,DE,AR,2010,,1,35.0,35.0,3396354075663.73,423627422092.49,12.8,72.71428571428571,49.142857142857146,50.857142857142854,34.142857142857146
DK-AR,DK,AR,2010,0.8,1,35.0,35.0,321995279401.502,423627422092.49,0.8,78.0,49.142857142857146,57.0,34.142857142857146
EE-AR,EE,AR,2010,,1,35.0,35.0,19685038567.3462,423627422092.49,0.8,67.28571428571429,49.142857142857146,40.142857142857146,34.142857142857146
GR-AR,GR,AR,2010,,0,35.0,35.0,296835346570.223,423627422092.49,0.8,55.857142857142854,49.142857142857146,37.857142857142854,34.142857142857146
FI-AR,FI,AR,2010,,1,35.0,35.0,249181190476.369,423627422092.49,0.8,77.42857142857143,49.142857142857146,55.714285714285715,34.142857142857146
FR-AR,FR,AR,2010,,1,35.0,35.0,2642609548930.36,423627422092.49,7.800000000000001,70.57142857142858,49.142857142857146,49.285714285714285,34.142857142857146
FR-AR,FR,AR,2010,,1,35.0,35.0,2642609548930.36,423627422092.49,9.8,70.57142857142858,49.142857142857146,49.285714285714285,34.142857142857146
HR-AR,HR,AR,2010,,0,35.0,35.0,59918313669.1671,423627422092.49,0.8,54.42857142857143,49.142857142857146,39.42857142857143,34.142857142857146
HU-AR,HU,AR,2010,0.8,1,35.0,35.0,131916516051.985,423627422092.49,0.8,59.85714285714287,49.142857142857146,41.42857142857143,34.142857142857146
IE-AR,IE,AR,2010,,0,35.0,35.0,222071182064.214,423627422092.49,1.7999999999999998,70.71428571428571,49.142857142857146,51.285714285714285,34.142857142857146
IE-AR,IE,AR,2010,,0,35.0,35.0,222071182064.214,423627422092.49,1.7999999999999998,70.71428571428571,49.142857142857146,51.285714285714285,34.142857142857146
IT-AR,IT,AR,2010,0.8,1,35.0,35.0,2134017843247.16,423627422092.49,9.8,56.42857142857143,49.142857142857146,42.57142857142857,34.142857142857146
IT-AR,IT,AR,2010,0.8,1,35.0,35.0,2134017843247.16,423627422092.49,9.8,56.42857142857143,49.142857142857146,42.57142857142857,34.142857142857146
LT-AR,LT,AR,2010,0.8,1,35.0,35.0,37128694028.243,423627422092.49,0.8,60.285714285714285,49.142857142857146,38.142857142857146,34.142857142857146
LV-AR,LV,AR,2010,0.8,0,35.0,35.0,23869752327.3325,423627422092.49,0.8,57.57142857142857,49.142857142857146,36.57142857142857,34.142857142857146
NL-AR,NL,AR,2010,,1,35.0,35.0,846554894931.084,423627422092.49,5.800000000000001,73.42857142857143,49.142857142857146,58.57142857142856,34.142857142857146
NL-AR,NL,AR,2010,,1,35.0,35.0,846554894931.084,423627422092.49,4.800000000000001,73.42857142857143,49.142857142857146,58.57142857142856,34.142857142857146
PL-AR,PL,AR,2010,0.8,0,35.0,35.0,479834179020.33,423627422092.49,0.8,56.857142857142854,49.142857142857146,36.714285714285715,34.142857142857146
RO-AR,RO,AR,2010,,0,35.0,35.0,166309355234.589,423627422092.49,0.8,54.42857142857143,49.142857142857146,37.714285714285715,34.142857142857146
SE-AR,SE,AR,2010,0.8,1,35.0,35.0,495812558843.31,423627422092.49,0.8,79.14285714285714,49.142857142857146,59.42857142857143,34.142857142857146
SI-AR,SI,AR,2010,0.8,0,35.0,35.0,48161250405.2468,423627422092.49,0.8,64.57142857142857,49.142857142857146,43.857142857142854,34.142857142857146
SK-AR,SK,AR,2010,,0,35.0,35.0,90310718349.0156,423627422092.49,0.8,58.285714285714285,49.142857142857146,41.0,34.142857142857146
BE-AT,BE,AT,2010,0.8,0,25.0,25.0,480951629493.033,391892746544.69,28.799999999999997,70.71428571428571,71.42857142857143,52.57142857142857,48.857142857142854
BE-AT,BE,AT,2010,0.8,0,25.0,25.0,480951629493.033,391892746544.69,29.799999999999997,70.71428571428571,71.42857142857143,52.57142857142857,48.857142857142854
BG-AT,BG,AT,2010,0.8,0,25.0,25.0,50381825504.2642,391892746544.69,0.8,54.142857142857146,71.42857142857143,39.142857142857146,48.857142857142854
CY-AT,CY,AT,2010,0.8,0,25.0,25.0,25732432719.0773,391892746544.69,2.8,62.42857142857143,71.42857142857143,40.57142857142857,48.857142857142854
CY-AT,CY,AT,2010,0.8,0,25.0,25.0,25732432719.0773,391892746544.69,2.8,62.42857142857143,71.42857142857143,40.57142857142857,48.857142857142854
